feature,importance
num__Previously_Insured,0.31713042
cat__Vehicle_Damage_No,0.24410485
cat__Vehicle_Damage_Yes,0.23266892
cat__Policy_Sales_Channel_160.0,0.018191032
cat__Policy_Sales_Channel_152.0,0.014614831
cat__Vehicle_Age_< 1 Year,0.0063476292
num__Age,0.005346944
cat__Region_Code_48.0,0.004545183
cat__Policy_Sales_Channel_26.0,0.0040927534
cat__Region_Code_50.0,0.0039492557
cat__Region_Code_41.0,0.003384172
cat__Region_Code_0.0,0.0031031186
cat__Policy_Sales_Channel_124.0,0.0029945814
cat__Policy_Sales_Channel_163.0,0.0028983373
cat__Region_Code_29.0,0.0027919495
cat__Policy_Sales_Channel_157.0,0.0027087326
cat__Policy_Sales_Channel_151.0,0.0026675868
num__Driving_License,0.0026056522
cat__Region_Code_28.0,0.002593367
cat__Vehicle_Age_1-2 Year,0.0025095807
cat__Region_Code_11.0,0.002434102
cat__Region_Code_35.0,0.0023826149
cat__Vehicle_Age_> 2 Years,0.002369212
cat__Policy_Sales_Channel_155.0,0.0022003204
cat__Region_Code_26.0,0.0021349024
cat__Policy_Sales_Channel_3.0,0.001966147
cat__Region_Code_20.0,0.0019074347
cat__Region_Code_9.0,0.0018646702
cat__Region_Code_12.0,0.0018517101
cat__Policy_Sales_Channel_11.0,0.0017589831
cat__Region_Code_47.0,0.0017442139
cat__Policy_Sales_Channel_25.0,0.0017203455
cat__Region_Code_30.0,0.0017084163
cat__Region_Code_8.0,0.0016784788
cat__Region_Code_21.0,0.0016516744
cat__Policy_Sales_Channel_4.0,0.0016333293
cat__Region_Code_18.0,0.0015887944
cat__Region_Code_3.0,0.0015885765
cat__Region_Code_6.0,0.0015874901
cat__Policy_Sales_Channel_156.0,0.0015811132
cat__Region_Code_31.0,0.001510052
cat__Region_Code_25.0,0.0015061499
cat__Policy_Sales_Channel_10.0,0.0014128174
cat__Region_Code_15.0,0.0013613547
cat__Policy_Sales_Channel_22.0,0.0013179317
cat__Region_Code_38.0,0.0013062499
cat__Region_Code_36.0,0.0013003135
cat__Policy_Sales_Channel_154.0,0.0012792144
cat__Region_Code_1.0,0.0012684225
cat__Policy_Sales_Channel_61.0,0.0012138217
cat__Policy_Sales_Channel_158.0,0.0011488867
cat__Region_Code_17.0,0.0011344176
cat__Policy_Sales_Channel_7.0,0.0011154491
cat__Policy_Sales_Channel_52.0,0.0011138918
cat__Policy_Sales_Channel_55.0,0.0011030807
cat__Policy_Sales_Channel_122.0,0.0011013126
cat__Policy_Sales_Channel_125.0,0.001069751
cat__Region_Code_39.0,0.0010682202
cat__Region_Code_23.0,0.0010646263
cat__Region_Code_33.0,0.0010238165
cat__Policy_Sales_Channel_19.0,0.0010163811
cat__Region_Code_4.0,0.001014026
cat__Region_Code_34.0,0.0009954015
cat__Policy_Sales_Channel_30.0,0.000964086
cat__Policy_Sales_Channel_153.0,0.0009639199
num__Annual_Premium,0.000962292
cat__Region_Code_32.0,0.0009594549
cat__Policy_Sales_Channel_31.0,0.000945743
cat__Region_Code_5.0,0.00094412814
cat__Policy_Sales_Channel_1.0,0.00093363196
cat__Gender_Female,0.0009311749
cat__Policy_Sales_Channel_24.0,0.0009266085
cat__Policy_Sales_Channel_60.0,0.0009164403
cat__Region_Code_22.0,0.0009061915
cat__Region_Code_43.0,0.0009000832
cat__Region_Code_37.0,0.00089453795
cat__Region_Code_14.0,0.00087249075
cat__Region_Code_2.0,0.0008649425
cat__Gender_Male,0.00084224937
cat__Policy_Sales_Channel_139.0,0.000834311
cat__Policy_Sales_Channel_44.0,0.00083204254
cat__Region_Code_7.0,0.00082437956
cat__Policy_Sales_Channel_16.0,0.00082080776
cat__Policy_Sales_Channel_145.0,0.0008167939
cat__Policy_Sales_Channel_135.0,0.00081196846
cat__Region_Code_42.0,0.0008039932
cat__Region_Code_44.0,0.0008035323
cat__Region_Code_52.0,0.00079970935
cat__Region_Code_46.0,0.0007973803
cat__Policy_Sales_Channel_54.0,0.0007954675
cat__Policy_Sales_Channel_12.0,0.0007927899
cat__Policy_Sales_Channel_15.0,0.00078631594
cat__Region_Code_40.0,0.000775132
cat__Region_Code_10.0,0.0007742808
cat__Policy_Sales_Channel_116.0,0.0007721351
cat__Policy_Sales_Channel_13.0,0.0007658504
cat__Policy_Sales_Channel_8.0,0.0007614068
cat__Region_Code_16.0,0.00075430924
cat__Policy_Sales_Channel_131.0,0.00074310583
cat__Policy_Sales_Channel_127.0,0.00074212
cat__Policy_Sales_Channel_86.0,0.0007358367
cat__Region_Code_24.0,0.00073580764
num__Vintage,0.0007288765
cat__Region_Code_51.0,0.0007245309
cat__Policy_Sales_Channel_109.0,0.00072062964
cat__Policy_Sales_Channel_147.0,0.0007201604
cat__Policy_Sales_Channel_91.0,0.00071241026
cat__Policy_Sales_Channel_88.0,0.0006917555
cat__Region_Code_49.0,0.00068907224
cat__Policy_Sales_Channel_37.0,0.0006854512
cat__Policy_Sales_Channel_128.0,0.0006777783
cat__Policy_Sales_Channel_18.0,0.000676476
cat__Policy_Sales_Channel_45.0,0.00067457743
cat__Region_Code_13.0,0.00067297014
cat__Policy_Sales_Channel_140.0,0.00066956045
cat__Policy_Sales_Channel_132.0,0.0006551801
cat__Policy_Sales_Channel_106.0,0.0006463032
cat__Policy_Sales_Channel_14.0,0.00064467365
cat__Policy_Sales_Channel_64.0,0.0006383576
cat__Policy_Sales_Channel_148.0,0.0006355153
cat__Policy_Sales_Channel_36.0,0.00062241266
cat__Region_Code_45.0,0.00060849544
cat__Policy_Sales_Channel_136.0,0.0005793641
cat__Policy_Sales_Channel_81.0,0.0005682442
cat__Policy_Sales_Channel_121.0,0.00056785846
cat__Policy_Sales_Channel_90.0,0.0005637558
cat__Policy_Sales_Channel_47.0,0.0005447855
cat__Policy_Sales_Channel_94.0,0.0005427158
cat__Policy_Sales_Channel_133.0,0.00052012346
cat__Region_Code_27.0,0.0005145127
cat__Policy_Sales_Channel_111.0,0.00050248986
cat__Policy_Sales_Channel_65.0,0.00048059784
cat__Policy_Sales_Channel_120.0,0.0004777403
cat__Policy_Sales_Channel_29.0,0.00046309148
cat__Policy_Sales_Channel_129.0,0.00046166655
cat__Region_Code_19.0,0.0004384149
cat__Policy_Sales_Channel_48.0,0.0004313737
cat__Policy_Sales_Channel_150.0,0.00042561584
cat__Policy_Sales_Channel_9.0,0.00041822268
cat__Policy_Sales_Channel_73.0,0.00041555462
cat__Policy_Sales_Channel_32.0,0.00036569271
cat__Policy_Sales_Channel_39.0,0.00032802188
cat__Policy_Sales_Channel_21.0,4.049071e-05
cat__Policy_Sales_Channel_115.0,0.0
cat__Policy_Sales_Channel_107.0,0.0
cat__Policy_Sales_Channel_108.0,0.0
cat__Policy_Sales_Channel_110.0,0.0
cat__Policy_Sales_Channel_146.0,0.0
cat__Policy_Sales_Channel_112.0,0.0
cat__Policy_Sales_Channel_113.0,0.0
cat__Policy_Sales_Channel_114.0,0.0
cat__Policy_Sales_Channel_138.0,0.0
cat__Policy_Sales_Channel_126.0,0.0
cat__Policy_Sales_Channel_137.0,0.0
cat__Policy_Sales_Channel_105.0,0.0
cat__Policy_Sales_Channel_143.0,0.0
cat__Policy_Sales_Channel_117.0,0.0
cat__Policy_Sales_Channel_118.0,0.0
cat__Policy_Sales_Channel_134.0,0.0
cat__Policy_Sales_Channel_119.0,0.0
cat__Policy_Sales_Channel_130.0,0.0
cat__Policy_Sales_Channel_159.0,0.0
cat__Policy_Sales_Channel_123.0,0.0
cat__Policy_Sales_Channel_149.0,0.0
cat__Policy_Sales_Channel_53.0,0.0
cat__Policy_Sales_Channel_104.0,0.0
cat__Policy_Sales_Channel_41.0,0.0
cat__Policy_Sales_Channel_63.0,0.0
cat__Policy_Sales_Channel_62.0,0.0
cat__Policy_Sales_Channel_59.0,0.0
cat__Policy_Sales_Channel_58.0,0.0
cat__Policy_Sales_Channel_57.0,0.0
cat__Policy_Sales_Channel_56.0,0.0
cat__Policy_Sales_Channel_51.0,0.0
cat__Policy_Sales_Channel_50.0,0.0
cat__Policy_Sales_Channel_49.0,0.0
cat__Policy_Sales_Channel_43.0,0.0
cat__Policy_Sales_Channel_42.0,0.0
cat__Policy_Sales_Channel_40.0,0.0
cat__Policy_Sales_Channel_103.0,0.0
cat__Policy_Sales_Channel_38.0,0.0
cat__Policy_Sales_Channel_35.0,0.0
cat__Policy_Sales_Channel_34.0,0.0
cat__Policy_Sales_Channel_33.0,0.0
cat__Policy_Sales_Channel_28.0,0.0
cat__Policy_Sales_Channel_27.0,0.0
cat__Policy_Sales_Channel_23.0,0.0
cat__Policy_Sales_Channel_20.0,0.0
cat__Policy_Sales_Channel_17.0,0.0
cat__Policy_Sales_Channel_6.0,0.0
cat__Policy_Sales_Channel_2.0,0.0
cat__Policy_Sales_Channel_66.0,0.0
cat__Policy_Sales_Channel_67.0,0.0
cat__Policy_Sales_Channel_68.0,0.0
cat__Policy_Sales_Channel_69.0,0.0
cat__Policy_Sales_Channel_102.0,0.0
cat__Policy_Sales_Channel_101.0,0.0
cat__Policy_Sales_Channel_100.0,0.0
cat__Policy_Sales_Channel_99.0,0.0
cat__Policy_Sales_Channel_98.0,0.0
cat__Policy_Sales_Channel_97.0,0.0
cat__Policy_Sales_Channel_96.0,0.0
cat__Policy_Sales_Channel_95.0,0.0
cat__Policy_Sales_Channel_93.0,0.0
cat__Policy_Sales_Channel_92.0,0.0
cat__Policy_Sales_Channel_89.0,0.0
cat__Policy_Sales_Channel_87.0,0.0
cat__Policy_Sales_Channel_84.0,0.0
cat__Policy_Sales_Channel_83.0,0.0
cat__Policy_Sales_Channel_82.0,0.0
cat__Policy_Sales_Channel_80.0,0.0
cat__Policy_Sales_Channel_79.0,0.0
cat__Policy_Sales_Channel_78.0,0.0
cat__Policy_Sales_Channel_76.0,0.0
cat__Policy_Sales_Channel_75.0,0.0
cat__Policy_Sales_Channel_74.0,0.0
cat__Policy_Sales_Channel_71.0,0.0
cat__Policy_Sales_Channel_70.0,0.0
cat__Policy_Sales_Channel_46.0,0.0
